"organisation","label","types","fk_sparql_query","metadata"
"http://dbpedia.org/resource/Christ_Church,_Oxford","Christ Church, Oxford","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Collège_de_France","Collège de France","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/King's_College,_Cambridge","King's College, Cambridge","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Hatfield_College,_Durham","Hatfield College, Durham","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/National_and_Kapodistrian_University_of_Athens","National and Kapodistrian University of Athens","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_South_Africa","University of South Africa","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Tel_Aviv_University","Tel Aviv University","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Northwestern_University","Northwestern University","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Humboldt_University_of_Berlin","Humboldt University of Berlin","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/National_Museum_of_Iran","National Museum of Iran","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Khorasan_province","Khorasan province","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Ulster_Museum","Ulster Museum","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Purdue_University","Purdue University","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Radcliffe_College","Radcliffe College","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Queen's_University_Belfast","Queen's University Belfast","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Erlangen–Nuremberg","University of Erlangen–Nuremberg","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Pitt_Rivers_Museum","Pitt Rivers Museum","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/New_College,_Edinburgh","New College, Edinburgh","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Evanston,_Illinois","Evanston, Illinois","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Darwin_College,_Cambridge","Darwin College, Cambridge","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Ca'_Foscari_University_of_Venice","Ca' Foscari University of Venice","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/McGill_University","McGill University","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Heidelberg_University","Heidelberg University","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Bonn","University of Bonn","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Alexandru_Ioan_Cuza_University","Alexandru Ioan Cuza University","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Virginia_Tech","Virginia Tech","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Kyushu_University","Kyushu University","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/National_Museum_of_Natural_History","National Museum of Natural History","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Durham_University","Durham University","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Smithsonian_Institution","Smithsonian Institution","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Egyptian_Museum","Egyptian Museum","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Stanford_University","Stanford University","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Bucharest","University of Bucharest","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Sydney","University of Sydney","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Brasenose_College,_Oxford","Brasenose College, Oxford","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Cardiff_University","Cardiff University","almaMater",4,"Importation 7 decembre 2025"
