"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Carl_Blegen","Carl Blegen",1887
"http://dbpedia.org/resource/Gerhard_Bersu","Gerhard Bersu",1889
"http://dbpedia.org/resource/Eleazar_Sukenik","Eleazar Sukenik",1889
"http://dbpedia.org/resource/Mortimer_Wheeler","Mortimer Wheeler",1890
"http://dbpedia.org/resource/William_F._Albright","William F. Albright",1891
"http://dbpedia.org/resource/Dorothy_Garrod","Dorothy Garrod",1892
"http://dbpedia.org/resource/Therkel_Mathiassen","Therkel Mathiassen",1892
"http://dbpedia.org/resource/Guo_Moruo","Guo Moruo",1892
"http://dbpedia.org/resource/Tessa_Wheeler","Tessa Wheeler",1893
"http://dbpedia.org/resource/Huang_Wenbi","Huang Wenbi",1893
"http://dbpedia.org/resource/Gertrud_Dorka","Gertrud Dorka",1893
"http://dbpedia.org/resource/Srečko_Brodar","Srečko Brodar",1893
"http://dbpedia.org/resource/Raymond_Dart","Raymond Dart",1893
"http://dbpedia.org/resource/Luisa_Banti","Luisa Banti",1894
"http://dbpedia.org/resource/Raissa_Calza","Raissa Calza",1894
"http://dbpedia.org/resource/Luigi_Maria_Ugolini","Luigi Maria Ugolini",1895
"http://dbpedia.org/resource/Dong_Zuobin","Dong Zuobin",1895
"http://dbpedia.org/resource/Alfonso_Caso","Alfonso Caso",1896
"http://dbpedia.org/resource/Senarath_Paranavithana","Senarath Paranavithana",1896
"http://dbpedia.org/resource/Jole_Bovio_Marconi","Jole Bovio Marconi",1897
"http://dbpedia.org/resource/Einar_Gjerstad","Einar Gjerstad",1897
"http://dbpedia.org/resource/Constantin_Daicoviciu","Constantin Daicoviciu",1898
"http://dbpedia.org/resource/Marion_Rawson","Marion Rawson",1899
"http://dbpedia.org/resource/Elinor_Mullett_Husselman","Elinor Mullett Husselman",1900
"http://dbpedia.org/resource/Norman_Tindale","Norman Tindale",1900
"http://dbpedia.org/resource/Ranuccio_Bianchi_Bandinelli","Ranuccio Bianchi Bandinelli",1900
"http://dbpedia.org/resource/Glenn_Albert_Black","Glenn Albert Black",1900
"http://dbpedia.org/resource/Richard_Indreko","Richard Indreko",1900
"http://dbpedia.org/resource/Constantin_S._Nicolăescu-Plopșor","Constantin S. Nicolăescu-Plopșor",1900
"http://dbpedia.org/resource/André_Parrot","André Parrot",1901
"http://dbpedia.org/resource/Kazimierz_Michałowski","Kazimierz Michałowski",1901
"http://dbpedia.org/resource/Jean-Philippe_Lauer","Jean-Philippe Lauer",1902
"http://dbpedia.org/resource/Hugh_O'Neill_Hencken","Hugh O'Neill Hencken",1902
"http://dbpedia.org/resource/Louis_Leakey","Louis Leakey",1903
"http://dbpedia.org/resource/Max_Mallowan","Max Mallowan",1904
"http://dbpedia.org/resource/Emil_Haury","Emil Haury",1904
"http://dbpedia.org/resource/Marie_Hackin","Marie Hackin",1905
"http://dbpedia.org/resource/Nahman_Avigad","Nahman Avigad",1905
"http://dbpedia.org/resource/W._F._Grimes","W. F. Grimes",1905
"http://dbpedia.org/resource/Jotham_Johnson","Jotham Johnson",1905
"http://dbpedia.org/resource/Christopher_Hawkes","Christopher Hawkes",1905
"http://dbpedia.org/resource/James_Bennett_Griffin","James Bennett Griffin",1905
"http://dbpedia.org/resource/Robert_Hamilton_(archaeologist)","Robert Hamilton (archaeologist)",1905
"http://dbpedia.org/resource/Joan_du_Plat_Taylor","Joan du Plat Taylor",1906
"http://dbpedia.org/resource/Kathleen_Kenyon","Kathleen Kenyon",1906
"http://dbpedia.org/resource/Alice_Kober","Alice Kober",1906
"http://dbpedia.org/resource/Benjamin_Mazar","Benjamin Mazar",1906
"http://dbpedia.org/resource/Alberto_Ruz_Lhuillier","Alberto Ruz Lhuillier",1906
